"cigar"[3]: ["raise","trail","cigar"]
"digit"[5]: ["raise","folio","unzip","mimic","digit"]
"crate"[4]: ["raise","crane","craze","crate"]
"cluck"[5]: ["raise","thong","fully","plumb","cluck"]
"spike"[4]: ["raise","spine","spite","spike"]
"mimic"[4]: ["raise","folio","unzip","mimic"]
"pound"[6]: ["raise","thong","bound","mound","found","pound"]
"maxim"[3]: ["raise","manic","maxim"]
"linen"[3]: ["raise","liken","linen"]
"unmet"[5]: ["raise","fleck","penny","woven","unmet"]
"flesh"[3]: ["raise","quest","flesh"]
"booby"[4]: ["raise","thong","bloom","booby"]
"forth"[4]: ["raise","broth","worth","forth"]
"first"[2]: ["raise","first"]
"stand"[3]: ["raise","scant","stand"]
"belly"[4]: ["raise","fleck","lumen","belly"]
"ivory"[3]: ["raise","dirty","ivory"]
"seedy"[4]: ["raise","spent","smell","seedy"]
"print"[4]: ["raise","wring","drink","print"]
"yearn"[4]: ["raise","feral","heart","yearn"]
"drain"[4]: ["raise","trail","brain","drain"]
"bribe"[4]: ["raise","crime","bride","bribe"]
"stout"[5]: ["raise","slunk","shout","spout","stout"]
"panel"[4]: ["raise","cadet","oaken","panel"]
"crass"[3]: ["raise","grass","crass"]
"flume"[4]: ["raise","fudge","fluke","flume"]
"offal"[5]: ["raise","allay","tubal","modal","offal"]
"agree"[4]: ["raise","crane","azure","agree"]
"error"[4]: ["raise","mower","decor","error"]
"swirl"[3]: ["raise","shirk","swirl"]
"argue"[3]: ["raise","crane","argue"]
"bleed"[3]: ["raise","fleck","bleed"]
"delta"[4]: ["raise","gleam","leant","delta"]
"flick"[4]: ["raise","owing","chick","flick"]
"totem"[4]: ["raise","fleck","penny","totem"]
"wooer"[3]: ["raise","mower","wooer"]
"front"[4]: ["raise","broth","trout","front"]
"shrub"[4]: ["raise","surly","scrub","shrub"]
"parry"[3]: ["raise","macro","parry"]
"biome"[3]: ["raise","binge","biome"]
"lapel"[5]: ["raise","cadet","oaken","gavel","lapel"]
"start"[6]: ["raise","spark","scarf","snarl","smart","start"]
"greet"[5]: ["raise","mower","freed","creep","greet"]
"goner"[7]: ["raise","mower","hover","boxer","poker","foyer","goner"]
"golem"[5]: ["raise","fleck","lumen","model","golem"]
"lusty"[3]: ["raise","slunk","lusty"]
"loopy"[4]: ["raise","thong","bloom","loopy"]
"round"[3]: ["raise","ruddy","round"]
"audit"[3]: ["raise","antic","audit"]
"lying"[5]: ["raise","owing","vying","dying","lying"]
"gamma"[3]: ["raise","mangy","gamma"]
"labor"[5]: ["raise","macro","tarot","valor","labor"]
"islet"[2]: ["raise","islet"]
"civic"[5]: ["raise","folio","unzip","mimic","civic"]
"forge"[4]: ["raise","drone","force","forge"]
"corny"[4]: ["raise","broth","worry","corny"]
"moult"[3]: ["raise","thong","moult"]
"basic"[4]: ["raise","basis","basin","basic"]
"salad"[3]: ["raise","sandy","salad"]
"agate"[4]: ["raise","blade","ovate","agate"]
"spicy"[3]: ["raise","spiky","spicy"]
"spray"[3]: ["raise","spark","spray"]
"essay"[3]: ["raise","steak","essay"]
"fjord"[4]: ["raise","broth","floor","fjord"]
"spend"[3]: ["raise","spent","spend"]
"kebab"[4]: ["raise","gleam","decay","kebab"]
"guild"[3]: ["raise","owing","guild"]
"aback"[3]: ["raise","allay","aback"]
"motor"[3]: ["raise","broth","motor"]
"alone"[3]: ["raise","blade","alone"]
"hatch"[7]: ["raise","mangy","patch","latch","catch","watch","hatch"]
"hyper"[4]: ["raise","mower","leper","hyper"]
"thumb"[3]: ["raise","thong","thumb"]
"dowry"[4]: ["raise","broth","worry","dowry"]
"ought"[3]: ["raise","thong","ought"]
"belch"[3]: ["raise","fleck","belch"]
"dutch"[4]: ["raise","thong","butch","dutch"]
"pilot"[3]: ["raise","folio","pilot"]
"tweed"[3]: ["raise","fleck","tweed"]
"comet"[4]: ["raise","fleck","covey","comet"]
"jaunt"[6]: ["raise","mangy","daunt","haunt","taunt","jaunt"]
"enema"[3]: ["raise","gleam","enema"]
"steed"[3]: ["raise","spent","steed"]
"abyss"[3]: ["raise","quash","abyss"]
"growl"[5]: ["raise","broth","proud","crown","growl"]
"fling"[5]: ["raise","owing","vying","cling","fling"]
"dozen"[5]: ["raise","fleck","penny","woven","dozen"]
"boozy"[5]: ["raise","thong","bloom","booby","boozy"]
"erode"[3]: ["raise","drone","erode"]
"world"[4]: ["raise","broth","worry","world"]
"gouge"[3]: ["raise","fudge","gouge"]
"click"[4]: ["raise","owing","chick","click"]
"briar"[3]: ["raise","triad","briar"]
"great"[5]: ["raise","feral","bread","creak","great"]
"altar"[3]: ["raise","graft","altar"]
"pulpy"[4]: ["raise","thong","fully","pulpy"]
"blurt"[3]: ["raise","broth","blurt"]
"coast"[5]: ["raise","quash","spasm","blast","coast"]
"duchy"[4]: ["raise","thong","humph","duchy"]
"groin"[3]: ["raise","dirty","groin"]
"fixer"[6]: ["raise","liner","piper","wider","tiger","fixer"]
"group"[4]: ["raise","broth","proud","group"]
"rogue"[2]: ["raise","rogue"]
"badly"[4]: ["raise","mangy","cabby","badly"]
"smart"[5]: ["raise","spark","scarf","snarl","smart"]
"pithy"[4]: ["raise","folio","tight","pithy"]
"gaudy"[4]: ["raise","mangy","gawky","gaudy"]
"chill"[5]: ["raise","owing","chick","child","chill"]
"heron"[4]: ["raise","mower","overt","heron"]
"vodka"[4]: ["raise","allay","dogma","vodka"]
"finer"[4]: ["raise","liner","diner","finer"]
"surer"[3]: ["raise","sheer","surer"]
"radio"[3]: ["raise","rabid","radio"]
"rouge"[3]: ["raise","rogue","rouge"]
"perch"[5]: ["raise","mower","trend","perky","perch"]
"retch"[5]: ["raise","roger","reply","rebut","retch"]
"wrote"[5]: ["raise","drone","probe","trove","wrote"]
"clock"[4]: ["raise","thong","bloom","clock"]
"tilde"[4]: ["raise","binge","tithe","tilde"]
"store"[6]: ["raise","shore","spore","score","swore","store"]
"prove"[4]: ["raise","drone","probe","prove"]
"bring"[3]: ["raise","wring","bring"]
"solve"[3]: ["raise","stoke","solve"]
"cheat"[3]: ["raise","gleam","cheat"]
"grime"[3]: ["raise","crime","grime"]
"exult"[4]: ["raise","fleck","lumen","exult"]
"usher"[3]: ["raise","sheer","usher"]
"epoch"[4]: ["raise","fleck","bench","epoch"]
"triad"[2]: ["raise","triad"]
"break"[4]: ["raise","feral","bread","break"]
"rhino"[2]: ["raise","rhino"]
"viral"[3]: ["raise","trail","viral"]
"conic"[4]: ["raise","folio","toxin","conic"]
"masse"[3]: ["raise","pause","masse"]
"sonic"[3]: ["raise","bison","sonic"]
"vital"[3]: ["raise","antic","vital"]
"trace"[4]: ["raise","crane","grace","trace"]
"using"[3]: ["raise","spiky","using"]
"peach"[6]: ["raise","gleam","annex","beady","heath","peach"]
"champ"[4]: ["raise","allay","dogma","champ"]
"baton"[4]: ["raise","mangy","daunt","baton"]
"brake"[4]: ["raise","crane","drake","brake"]
"pluck"[5]: ["raise","thong","fully","plumb","pluck"]
"craze"[3]: ["raise","crane","craze"]
"gripe"[5]: ["raise","crime","bride","write","gripe"]
"weary"[5]: ["raise","feral","heart","yearn","weary"]
"picky"[5]: ["raise","folio","tight","pinky","picky"]
"acute"[3]: ["raise","blade","acute"]
"ferry"[5]: ["raise","mower","trend","perky","ferry"]
"aside"[2]: ["raise","aside"]
"tapir"[2]: ["raise","tapir"]
"troll"[4]: ["raise","broth","trout","troll"]
"unify"[3]: ["raise","owing","unify"]
"rebus"[2]: ["raise","rebus"]
"boost"[3]: ["raise","bossy","boost"]
"truss"[3]: ["raise","burst","truss"]
"siege"[2]: ["raise","siege"]
"tiger"[5]: ["raise","liner","piper","wider","tiger"]
"banal"[3]: ["raise","mangy","banal"]
"slump"[3]: ["raise","slunk","slump"]
"crank"[4]: ["raise","graft","drawn","crank"]
"gorge"[4]: ["raise","drone","force","gorge"]
"query"[5]: ["raise","mower","trend","leery","query"]
"drink"[3]: ["raise","wring","drink"]
"favor"[5]: ["raise","macro","tarot","valor","favor"]
"abbey"[4]: ["raise","gleam","annex","abbey"]
"tangy"[3]: ["raise","mangy","tangy"]
"panic"[3]: ["raise","manic","panic"]
"solar"[4]: ["raise","spark","stray","solar"]
"shire"[2]: ["raise","shire"]
"proxy"[6]: ["raise","broth","proud","prowl","prong","proxy"]
"point"[3]: ["raise","owing","point"]
"robot"[3]: ["raise","ruddy","robot"]
"prick"[6]: ["raise","wring","frill","trick","crick","prick"]
"wince"[3]: ["raise","binge","wince"]
"crimp"[5]: ["raise","wring","frill","trick","crimp"]
"knoll"[4]: ["raise","thong","clown","knoll"]
"sugar"[5]: ["raise","spark","stray","solar","sugar"]
"whack"[5]: ["raise","allay","dogma","chant","whack"]
"mount"[3]: ["raise","thong","mount"]
"perky"[4]: ["raise","mower","trend","perky"]
"could"[4]: ["raise","thong","jolly","could"]
"wrung"[3]: ["raise","broth","wrung"]
"light"[4]: ["raise","folio","idyll","light"]
"those"[4]: ["raise","moose","chose","those"]
"moist"[4]: ["raise","joist","hoist","moist"]
"shard"[6]: ["raise","spark","scarf","snarl","smart","shard"]
"pleat"[4]: ["raise","gleam","bleat","pleat"]
"aloft"[4]: ["raise","allay","along","aloft"]
"skill"[4]: ["raise","spiky","stick","skill"]
"elder"[4]: ["raise","mower","leper","elder"]
"frame"[5]: ["raise","crane","drake","grape","frame"]
"humor"[4]: ["raise","broth","hydro","humor"]
"pause"[2]: ["raise","pause"]
"ulcer"[4]: ["raise","mower","leper","ulcer"]
"ultra"[4]: ["raise","graft","altar","ultra"]
"robin"[2]: ["raise","robin"]
"cynic"[4]: ["raise","folio","unzip","cynic"]
"aroma"[4]: ["raise","graft","arbor","aroma"]
"caulk"[4]: ["raise","mangy","patch","caulk"]
"shake"[6]: ["raise","stave","shale","shade","shame","shake"]
"dodge"[4]: ["raise","fudge","lodge","dodge"]
"swill"[5]: ["raise","spiky","stiff","swing","swill"]
"tacit"[3]: ["raise","manic","tacit"]
"other"[4]: ["raise","mower","older","other"]
"thorn"[3]: ["raise","broth","thorn"]
"trove"[4]: ["raise","drone","probe","trove"]
"bloke"[4]: ["raise","fudge","penne","bloke"]
"vivid"[6]: ["raise","folio","unzip","mimic","digit","vivid"]
"spill"[3]: ["raise","spiky","spill"]
"chant"[4]: ["raise","allay","dogma","chant"]
"choke"[5]: ["raise","fudge","penne","bloke","choke"]
"rupee"[3]: ["raise","rogue","rupee"]
"nasty"[3]: ["raise","sandy","nasty"]
"mourn"[4]: ["raise","broth","worry","mourn"]
"ahead"[4]: ["raise","gleam","cheat","ahead"]
"brine"[5]: ["raise","crime","bride","bribe","brine"]
"cloth"[4]: ["raise","thong","quoth","cloth"]
"hoard"[4]: ["raise","graft","chard","hoard"]
"sweet"[4]: ["raise","spent","smelt","sweet"]
"month"[3]: ["raise","thong","month"]
"lapse"[3]: ["raise","pause","lapse"]
"watch"[6]: ["raise","mangy","patch","latch","catch","watch"]
"today"[3]: ["raise","allay","today"]
"focus"[4]: ["raise","slunk","bushy","focus"]
"smelt"[3]: ["raise","spent","smelt"]
"tease"[3]: ["raise","lease","tease"]
"cater"[7]: ["raise","gayer","wafer","maker","later","hater","cater"]
"movie"[3]: ["raise","binge","movie"]
"saute"[3]: ["raise","salve","saute"]
"allow"[3]: ["raise","allay","allow"]
"renew"[4]: ["raise","roger","revel","renew"]
"their"[3]: ["raise","liner","their"]
"slosh"[4]: ["raise","bossy","floss","slosh"]
"purge"[4]: ["raise","drone","merge","purge"]
"chest"[3]: ["raise","quest","chest"]
"depot"[4]: ["raise","fleck","penny","depot"]
"epoxy"[4]: ["raise","fleck","penny","epoxy"]
"nymph"[4]: ["raise","thong","bunch","nymph"]
"found"[5]: ["raise","thong","bound","mound","found"]
"shall"[5]: ["raise","scant","swamp","shady","shall"]
"harry"[4]: ["raise","macro","parry","harry"]
"stove"[4]: ["raise","stoke","stole","stove"]
"lowly"[4]: ["raise","thong","jolly","lowly"]
"snout"[3]: ["raise","slunk","snout"]
"trope"[4]: ["raise","drone","probe","trope"]
"fewer"[3]: ["raise","mower","fewer"]
"shawl"[4]: ["raise","scant","swamp","shawl"]
"natal"[5]: ["raise","mangy","daunt","baton","natal"]
"comma"[4]: ["raise","allay","dogma","comma"]
"foray"[3]: ["raise","graft","foray"]
"scare"[5]: ["raise","share","stare","snare","scare"]
"stair"[2]: ["raise","stair"]
"black"[5]: ["raise","allay","gland","flack","black"]
"squad"[3]: ["raise","scant","squad"]
"royal"[2]: ["raise","royal"]
"chunk"[3]: ["raise","thong","chunk"]
"mince"[4]: ["raise","binge","wince","mince"]
"shame"[5]: ["raise","stave","shale","shade","shame"]
"cheek"[3]: ["raise","fleck","cheek"]
"ample"[4]: ["raise","blade","angle","ample"]
"flair"[3]: ["raise","trail","flair"]
"foyer"[6]: ["raise","mower","hover","boxer","poker","foyer"]
"cargo"[3]: ["raise","macro","cargo"]
"oxide"[4]: ["raise","white","opine","oxide"]
"plant"[5]: ["raise","allay","gland","plank","plant"]
"olive"[5]: ["raise","white","opine","oxide","olive"]
"inert"[3]: ["raise","liner","inert"]
"askew"[3]: ["raise","steak","askew"]
"heist"[2]: ["raise","heist"]
"shown"[3]: ["raise","slunk","shown"]
"zesty"[3]: ["raise","spent","zesty"]
"hasty"[4]: ["raise","sandy","tasty","hasty"]
"trash"[4]: ["raise","grass","crash","trash"]
"fella"[4]: ["raise","gleam","leant","fella"]
"larva"[4]: ["raise","macro","party","larva"]
"forgo"[4]: ["raise","broth","worry","forgo"]
"story"[3]: ["raise","surly","story"]
"hairy"[3]: ["raise","fairy","hairy"]
"train"[3]: ["raise","trail","train"]
"homer"[3]: ["raise","mower","homer"]
"badge"[3]: ["raise","gauge","badge"]
"midst"[3]: ["raise","tipsy","midst"]
"canny"[4]: ["raise","mangy","candy","canny"]
"fetus"[4]: ["raise","spent","zesty","fetus"]
"butch"[3]: ["raise","thong","butch"]
"farce"[3]: ["raise","barge","farce"]
"slung"[3]: ["raise","slunk","slung"]
"tipsy"[2]: ["raise","tipsy"]
"metal"[3]: ["raise","gleam","metal"]
"yield"[4]: ["raise","liken","field","yield"]
"delve"[3]: ["raise","fudge","delve"]
"being"[3]: ["raise","eking","being"]
"scour"[4]: ["raise","surly","spurn","scour"]
"glass"[4]: ["raise","quash","spasm","glass"]
"gamer"[3]: ["raise","gayer","gamer"]
"scrap"[3]: ["raise","spark","scrap"]
"money"[5]: ["raise","fleck","penny","honey","money"]
"hinge"[3]: ["raise","binge","hinge"]
"album"[4]: ["raise","allay","along","album"]
"vouch"[5]: ["raise","thong","holly","couch","vouch"]
"asset"[3]: ["raise","steak","asset"]
"tiara"[3]: ["raise","trail","tiara"]
"crept"[4]: ["raise","mower","trend","crept"]
"bayou"[3]: ["raise","mangy","bayou"]
"atoll"[3]: ["raise","allay","atoll"]
"manor"[3]: ["raise","macro","manor"]
"creak"[4]: ["raise","feral","bread","creak"]
"showy"[4]: ["raise","slunk","swoop","showy"]
"phase"[3]: ["raise","lease","phase"]
"froth"[3]: ["raise","broth","froth"]
"depth"[5]: ["raise","fleck","penny","depot","depth"]
"gloom"[4]: ["raise","thong","goody","gloom"]
"flood"[4]: ["raise","thong","bloom","flood"]
"trait"[4]: ["raise","trail","train","trait"]
"girth"[4]: ["raise","dirty","birth","girth"]
"piety"[3]: ["raise","liken","piety"]
"payer"[3]: ["raise","gayer","payer"]
"goose"[4]: ["raise","moose","loose","goose"]
"float"[4]: ["raise","allay","gloat","float"]
"donor"[4]: ["raise","broth","worry","donor"]
"atone"[4]: ["raise","blade","acute","atone"]
"primo"[5]: ["raise","wring","frill","trick","primo"]
"apron"[5]: ["raise","graft","molar","acorn","apron"]
"blown"[4]: ["raise","thong","clown","blown"]
"cacao"[5]: ["raise","mangy","patch","caulk","cacao"]
"loser"[3]: ["raise","sheer","loser"]
"input"[4]: ["raise","folio","tight","input"]
"gloat"[3]: ["raise","allay","gloat"]
"awful"[3]: ["raise","allay","awful"]
"brink"[4]: ["raise","wring","drink","brink"]
"smite"[4]: ["raise","spine","slime","smite"]
"beady"[4]: ["raise","gleam","annex","beady"]
"rusty"[2]: ["raise","rusty"]
"retro"[3]: ["raise","roger","retro"]
"droll"[4]: ["raise","broth","proud","droll"]
"gawky"[3]: ["raise","mangy","gawky"]
"hutch"[5]: ["raise","thong","butch","dutch","hutch"]
"pinto"[4]: ["raise","folio","dingo","pinto"]
"gaily"[3]: ["raise","paint","gaily"]
"egret"[4]: ["raise","mower","freed","egret"]
"lilac"[3]: ["raise","antic","lilac"]
"sever"[3]: ["raise","sheer","sever"]
"field"[3]: ["raise","liken","field"]
"fluff"[4]: ["raise","thong","fully","fluff"]
"hydro"[3]: ["raise","broth","hydro"]
"flack"[4]: ["raise","allay","gland","flack"]
"agape"[5]: ["raise","blade","ovate","chafe","agape"]
"voice"[4]: ["raise","white","opine","voice"]
"stead"[4]: ["raise","steak","steal","stead"]
"stalk"[3]: ["raise","scant","stalk"]
"berth"[4]: ["raise","mower","trend","berth"]
"madam"[4]: ["raise","mangy","macaw","madam"]
"night"[5]: ["raise","folio","tight","might","night"]
"bland"[4]: ["raise","allay","gland","bland"]
"liver"[3]: ["raise","liner","liver"]
"wedge"[4]: ["raise","fudge","lodge","wedge"]
"augur"[3]: ["raise","graft","augur"]
"roomy"[3]: ["raise","ruddy","roomy"]
"wacky"[4]: ["raise","mangy","cabby","wacky"]
"flock"[5]: ["raise","thong","bloom","clock","flock"]
"angry"[4]: ["raise","graft","augur","angry"]
"bobby"[6]: ["raise","thong","jolly","dowdy","poppy","bobby"]
"trite"[5]: ["raise","crime","bride","write","trite"]
"aphid"[4]: ["raise","antic","audio","aphid"]
"tryst"[3]: ["raise","burst","tryst"]
"midge"[3]: ["raise","binge","midge"]
"power"[5]: ["raise","mower","tower","lower","power"]
"elope"[4]: ["raise","fudge","penne","elope"]
"cinch"[5]: ["raise","folio","tight","hippy","cinch"]
"motto"[4]: ["raise","thong","moult","motto"]
"stomp"[4]: ["raise","slunk","swoop","stomp"]
"upset"[3]: ["raise","spent","upset"]
"bluff"[4]: ["raise","thong","fully","bluff"]
"cramp"[4]: ["raise","graft","drawn","cramp"]
"quart"[4]: ["raise","graft","apart","quart"]
"coyly"[4]: ["raise","thong","jolly","coyly"]
"youth"[3]: ["raise","thong","youth"]
"rhyme"[3]: ["raise","rogue","rhyme"]
"buggy"[4]: ["raise","thong","pudgy","buggy"]
"alien"[2]: ["raise","alien"]
"smear"[4]: ["raise","shear","swear","smear"]
"unfit"[3]: ["raise","folio","unfit"]
"patty"[5]: ["raise","mangy","cabby","paddy","patty"]
"cling"[4]: ["raise","owing","vying","cling"]
"glean"[3]: ["raise","gleam","glean"]
"label"[6]: ["raise","cadet","oaken","gavel","lapel","label"]
"hunky"[4]: ["raise","thong","bunch","hunky"]
"khaki"[4]: ["raise","antic","villa","khaki"]
"poker"[5]: ["raise","mower","hover","boxer","poker"]
"gruel"[4]: ["raise","mower","freed","gruel"]
"twice"[3]: ["raise","white","twice"]
"twang"[4]: ["raise","allay","dogma","twang"]
"shrug"[4]: ["raise","surly","scrub","shrug"]
"treat"[6]: ["raise","feral","bread","creak","great","treat"]
"unlit"[3]: ["raise","folio","unlit"]
"waste"[7]: ["raise","salve","taste","haste","caste","paste","waste"]
"merit"[3]: ["raise","liner","merit"]
"woven"[4]: ["raise","fleck","penny","woven"]
"octal"[4]: ["raise","allay","tubal","octal"]
"needy"[4]: ["raise","fleck","tweed","needy"]
"clown"[3]: ["raise","thong","clown"]
"widow"[4]: ["raise","folio","ingot","widow"]
"irony"[4]: ["raise","dirty","ivory","irony"]
"ruder"[3]: ["raise","roger","ruder"]
"gauze"[3]: ["raise","gauge","gauze"]
"chief"[3]: ["raise","eking","chief"]
"onset"[3]: ["raise","spent","onset"]
"prize"[6]: ["raise","crime","bride","write","gripe","prize"]
"fungi"[4]: ["raise","folio","fifty","fungi"]
"charm"[4]: ["raise","graft","chard","charm"]
"gully"[4]: ["raise","thong","pudgy","gully"]
"inter"[3]: ["raise","liner","inter"]
"whoop"[3]: ["raise","thong","whoop"]
"taunt"[5]: ["raise","mangy","daunt","haunt","taunt"]
"leery"[4]: ["raise","mower","trend","leery"]
"class"[5]: ["raise","quash","spasm","glass","class"]
"theme"[4]: ["raise","fudge","penne","theme"]
"lofty"[4]: ["raise","thong","moult","lofty"]
"tibia"[3]: ["raise","antic","tibia"]
"booze"[5]: ["raise","fudge","penne","bloke","booze"]
"alpha"[3]: ["raise","allay","alpha"]
"thyme"[5]: ["raise","fudge","penne","bloke","thyme"]
"eclat"[4]: ["raise","gleam","pedal","eclat"]
"doubt"[4]: ["raise","thong","moult","doubt"]
"parer"[7]: ["raise","gayer","wafer","maker","later","paper","parer"]
"chute"[4]: ["raise","fudge","plume","chute"]
"stick"[3]: ["raise","spiky","stick"]
"trice"[3]: ["raise","crime","trice"]
"alike"[3]: ["raise","abide","alike"]
"sooth"[4]: ["raise","slunk","swoop","sooth"]
"recap"[5]: ["raise","realm","rebar","repay","recap"]
"saint"[2]: ["raise","saint"]
"liege"[4]: ["raise","binge","midge","liege"]
"glory"[4]: ["raise","broth","floor","glory"]
"grate"[6]: ["raise","crane","drake","grape","grave","grate"]
"admit"[4]: ["raise","antic","audit","admit"]
"brisk"[3]: ["raise","prism","brisk"]
"soggy"[4]: ["raise","slunk","swoop","soggy"]
"usurp"[3]: ["raise","surly","usurp"]
"scald"[4]: ["raise","scant","scalp","scald"]
"scorn"[4]: ["raise","surly","short","scorn"]
"leave"[3]: ["raise","blade","leave"]
"twine"[4]: ["raise","white","twice","twine"]
"sting"[5]: ["raise","spiky","stiff","still","sting"]
"bough"[4]: ["raise","thong","cough","bough"]
"marsh"[2]: ["raise","marsh"]
"sloth"[3]: ["raise","slunk","sloth"]
"dandy"[4]: ["raise","mangy","candy","dandy"]
"vigor"[3]: ["raise","dirty","vigor"]
"howdy"[4]: ["raise","thong","holly","howdy"]
"enjoy"[4]: ["raise","fleck","penny","enjoy"]
"valid"[4]: ["raise","manic","patio","valid"]
"ionic"[5]: ["raise","folio","toxin","conic","ionic"]
"equal"[4]: ["raise","gleam","pedal","equal"]
"unset"[4]: ["raise","spent","onset","unset"]
"floor"[3]: ["raise","broth","floor"]
"catch"[5]: ["raise","mangy","patch","latch","catch"]
"spade"[4]: ["raise","stave","shale","spade"]
"stein"[3]: ["raise","islet","stein"]
"exist"[3]: ["raise","heist","exist"]
"quirk"[4]: ["raise","wring","third","quirk"]
"denim"[3]: ["raise","liken","denim"]
"grove"[5]: ["raise","drone","probe","trove","grove"]
"spiel"[2]: ["raise","spiel"]
"mummy"[5]: ["raise","thong","fully","dumpy","mummy"]
"fault"[4]: ["raise","mangy","patch","fault"]
"foggy"[4]: ["raise","thong","godly","foggy"]
"flout"[3]: ["raise","thong","flout"]
"carry"[3]: ["raise","macro","carry"]
"sneak"[3]: ["raise","steak","sneak"]
"libel"[3]: ["raise","liken","libel"]
"waltz"[5]: ["raise","mangy","patch","fault","waltz"]
"aptly"[3]: ["raise","allay","aptly"]
"piney"[3]: ["raise","liken","piney"]
"inept"[4]: ["raise","liken","denim","inept"]
"aloud"[5]: ["raise","allay","along","aloft","aloud"]
"photo"[3]: ["raise","thong","photo"]
"dream"[4]: ["raise","feral","bread","dream"]
"stale"[5]: ["raise","stave","stake","stage","stale"]
"vomit"[4]: ["raise","folio","toxin","vomit"]
"ombre"[4]: ["raise","drone","force","ombre"]
"fanny"[4]: ["raise","mangy","candy","fanny"]
"unite"[3]: ["raise","white","unite"]
"snarl"[4]: ["raise","spark","scarf","snarl"]
"baker"[5]: ["raise","gayer","wafer","maker","baker"]
"there"[4]: ["raise","drone","merge","there"]
"glyph"[3]: ["raise","thong","glyph"]
"pooch"[3]: ["raise","thong","pooch"]
"hippy"[4]: ["raise","folio","tight","hippy"]
"spell"[4]: ["raise","spent","speck","spell"]
"folly"[4]: ["raise","thong","jolly","folly"]
"louse"[4]: ["raise","moose","copse","louse"]
"gulch"[4]: ["raise","thong","glyph","gulch"]
"vault"[5]: ["raise","mangy","patch","fault","vault"]
"godly"[3]: ["raise","thong","godly"]
"threw"[3]: ["raise","mower","threw"]
"fleet"[3]: ["raise","fleck","fleet"]
"grave"[5]: ["raise","crane","drake","grape","grave"]
"inane"[2]: ["raise","inane"]
"shock"[4]: ["raise","slunk","stock","shock"]
"crave"[5]: ["raise","crane","craze","crate","crave"]
"spite"[3]: ["raise","spine","spite"]
"valve"[5]: ["raise","gauge","lathe","fable","valve"]
"skimp"[3]: ["raise","spiky","skimp"]
"claim"[3]: ["raise","antic","claim"]
"rainy"[2]: ["raise","rainy"]
"musty"[5]: ["raise","slunk","bushy","gusty","musty"]
"pique"[5]: ["raise","binge","tithe","pixie","pique"]
"daddy"[5]: ["raise","mangy","cabby","paddy","daddy"]
"quasi"[2]: ["raise","quasi"]
"arise"[2]: ["raise","arise"]
"aging"[3]: ["raise","axial","aging"]
"valet"[3]: ["raise","cadet","valet"]
"opium"[3]: ["raise","owing","opium"]
"avert"[4]: ["raise","feral","arena","avert"]
"stuck"[3]: ["raise","slunk","stuck"]
"recut"[5]: ["raise","roger","reply","rebut","recut"]
"mulch"[4]: ["raise","thong","humph","mulch"]
"genre"[3]: ["raise","drone","genre"]
"plume"[3]: ["raise","fudge","plume"]
"rifle"[2]: ["raise","rifle"]
"count"[4]: ["raise","thong","mount","count"]
"incur"[4]: ["raise","dirty","groin","incur"]
"total"[4]: ["raise","allay","tubal","total"]
"wrest"[3]: ["raise","dress","wrest"]
"mocha"[4]: ["raise","allay","dogma","mocha"]
"deter"[5]: ["raise","mower","leper","never","deter"]
